Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Bulgaria,2020,24.98194931,15.75194971,15.47337285,4.6121458,4.613138356,12.78828678,-0.14234214999999928,0.22022980000000025,0.5718417799999997,-0.08139718842502655,0.12593660084104408,-0.031347983226069874,-0.017926086527405932
Bulgaria,2021,25.15904591,15.74380125,15.46969332,4.613138356,4.614129927,12.86779277,-0.1460216800000005,0.22122235600000018,0.6513477699999992,-0.0951108956396538,0.14409268825474605,-0.03230326007667821,-0.02104065641467436
Bulgaria,2022,25.23019292,15.70912315,15.43945139,4.615120517,4.615120517,12.82741144,-0.17626360999999946,0.2232045170000001,0.6109664400000003,-0.10769115030324813,0.1363704691434096,-0.03934283393472627,-0.024037151188610915
Bulgaria,2023,25.35222728,15.67906295,15.41380764,4.615120517,4.615120517,12.898637,-0.20190735999999987,0.2232045170000001,0.6821920000000006,-0.13773958573312003,0.1522683358612642,-0.04506663476754511,-0.030744097705341162
Burkina,2019,23.4979033,16.85821959,15.65357998,2.923161581,4.183575696,10.58275031,0.03786498000000016,-1.4687544190000001,-1.6336946900000004,-0.061859816762956474,2.399496295234336,-0.05561435670034686,0.09085687922912261
Burkina,2020,23.5982425,16.88257189,15.6986306,2.970414466,4.206184044,10.72057516,0.08291559999999976,-1.4215015340000003,-1.495869840000001,-0.12403094530550372,2.1263812722243367,-0.11786465259253008,0.17631017901524368
Burkina,2021,23.70375839,16.90633681,15.74286606,2.995732274,4.228292535,10.86320214,0.12715106000000098,-1.3961837260000003,-1.35324286,-0.1720662640864329,1.8893756584576966,-0.17752624071565096,0.24023611771109593
Burkina,2022,23.65819759,16.92942752,15.78614217,3.020424886,4.119037175,10.94292849,0.17042716999999996,-1.3714911140000003,-1.2735165100000003,-0.2170418147475767,1.746616576997293,-0.2337393492391674,0.2976709202927357
Burkina,2023,23.73509869,16.95212489,15.82881003,3.122364924,,11.03513982,0.21309502999999985,-1.269551076,-1.1813051800000007,-0.2517302627712554,1.4997272623533746,-0.2705350246267521,0.31958442596301
Burundi,2019,21.66970505,16.32147207,14.30901646,2.379546134,4.123903364,8.156515269,-1.3066985399999993,-2.0123698660000002,-4.059929731,5.30510425200029,8.170080248741888,2.6295607658421947,-10.675831932713857
Burundi,2020,21.69770481,16.3505586,14.36336835,2.312535424,4.119037175,8.398932332,-1.2523466499999998,-2.079380576,-3.817512668000001,4.780849201102362,7.938061690473139,2.6041052984286703,-9.941204965557372
Burundi,2021,21.74420436,16.37780115,14.41582289,2.415913778,4.15575319,8.757819432,-1.1998921100000004,-1.976002222,-3.4586255680000004,4.149977530487471,6.834251807434013,2.370989475520269,-8.200364821493315
Burundi,2022,21.92885418,16.40485965,14.46809821,2.424802726,4.17438727,8.652717653,-1.147616789999999,-1.9671132740000004,-3.5637273470000004,4.089793338399353,7.0102553692005065,2.2574922210742687,-8.045086763882143
Burundi,2023,21.69486323,16.43213609,14.5205117,2.533696814,4.189654742,9.061471082,-1.0952032999999997,-1.8582191860000004,-3.1549739179999996,3.4553378464075277,5.8626330657571915,2.0351277846305136,-6.420775080306391
